City,Value,total
Abbotsford,12.7,190
Campbell River,11.12,15
Chilliwack,11.22,17
Kamloops,11.280000000000001,37
Kelowna,9.780000000000001,21
Nanaimo,10.040000000000001,25
Penticton,10.379999999999999,8
Vancouver,9.440000000000001,214
Vernon,10.78,21
Victoria,9.26,38
